timestamp,lat,lon,course,direction,kts,mph,altft,climbft,datasource
Mon 10:34:04 AM,53.8263,-2.7455,161°,South,406,467,33000, , FlightAware UK 
Mon 10:34:56 AM,53.7389,-2.6964,161°,South,406,467,33000, , FlightAware ADS-B  (DSA / EGCN) 
Mon 10:35:58 AM,53.6309,-2.6358,161°,South,407,468,33000, , FlightAware ADS-B  (LPL / EGGP) 
Mon 10:36:58 AM,53.5204,-2.5726,161°,South,406,467,33000, , FlightAware ADS-B  (MAN / EGCC) 
Mon 10:36:59 AM,53.5163,-2.5704,161°,South,406,467,33000, , FlightAware UK 
Mon 10:37:58 AM,53.4097,-2.5106,161°,South,410,472,33000, , FlightAware UK 
Mon 10:38:01 AM,53.4163,-2.5147,162°,South,409,471,33000, , FlightAware ADS-B  (EGCD) 
Mon 10:39:01 AM,53.3012,-2.4516,161°,South,410,472,33000, , FlightAware ADS-B  (QCY / EGXC) 
Mon 10:40:01 AM,53.1930,-2.3927,161°,South,411,473,33000,50 , FlightAware ADS-B  (EGNO) 
Mon 10:41:02 AM,53.0886,-2.3360,161°,South,412,474,33100,63 , FlightAware ADS-B  (EGCB) 
Mon 10:41:37 AM,53.0289,-2.2965,156°,South,379,436,33100, , FlightAware ADS-B  (WAT / EIWF) 
Mon 10:42:16 AM,52.9970,-2.2690,149°,Southeast,402,463,33100,-228 , FlightAware ADS-B  (BWF / EGNL) 
Mon 10:42:56 AM,52.9204,-2.1897,147°,Southeast,398,458,32800,-771 , FlightAware ADS-B  (EGTC) 
Mon 10:44:05 AM,52.7872,-2.0504,147°,Southeast,402,463,31700,-870 , FlightAware UK 
Mon 10:44:05 AM,52.7950,-2.0589,147°,Southeast,401,461,31800,-1100 , FlightAware ADS-B  (HUY / EGNJ) 
Mon 10:45:05 AM,52.6990,-1.9592,147°,Southeast,386,444,30600,-1364 , FlightAware ADS-B  (GLO / EGBJ) 
Mon 10:45:11 AM,52.6843,-1.9439,147°,Southeast,386,444,30300,-1200 , FlightAware UK 
Mon 10:46:05 AM,52.6111,-1.8689,148°,Southeast,357,411,29400,-1461 , FlightAware ADS-B  (EGXY) 
Mon 10:47:06 AM,52.5263,-1.7810,147°,Southeast,345,397,27500,-1742 , FlightAware ADS-B  (DSA / EGCN) 
Mon 10:48:09 AM,52.4398,-1.7149,147°,Southeast,346,398,25800,-1692 , FlightAware ADS-B  (CBG / EGSC) 
Mon 10:48:24 AM,52.4163,-1.7019,149°,Southeast,338,389,25300,-1875 , FlightAware ADS-B  (EGSV) 
Mon 10:48:57 AM,52.3644,-1.6729,161°,South,340,391,24300,-1556 , FlightAware ADS-B  (EGNY) 
Mon 10:49:18 AM,52.3411,-1.6599,159°,South,332,382,23900,-1692 , FlightAware ADS-B  (GLO / EGBJ) 
Mon 10:49:36 AM,52.3097,-1.6370,152°,Southeast,326,375,23200,-1714 , FlightAware ADS-B  (EGBW) 
Mon 10:50:07 AM,52.2767,-1.6051,148°,Southeast,320,368,22500,-1704 , FlightAware ADS-B  (FAB / EGLF) 
Mon 10:50:57 AM,52.2076,-1.5360,145°,Southeast,312,359,20900,-1850 , FlightAware ADS-B  (LTN / EGGW) 
Mon 10:51:54 AM,52.1463,-1.4484,139°,Southeast,307,353,19200,-1655 , FlightAware ADS-B  (MRH / EGYM) 
Mon 10:52:24 AM,52.1158,-1.4033,137°,Southeast,297,342,18500,-1600 , FlightAware ADS-B  (EGBD) 
Mon 10:52:54 AM,52.0856,-1.3585,137°,Southeast,295,339,17600,-1826 , FlightAware ADS-B  (EGTB) 
Mon 10:53:10 AM,52.0686,-1.3330,136°,Southeast,289,333,17100,-1636 , FlightAware ADS-B  (BHX / EGBB) 
Mon 10:54:11 AM,52.0192,-1.2580,137°,Southeast,288,331,15500,-1488 , FlightAware ADS-B  (STN / EGSS) 
Mon 10:55:11 AM,51.9525,-1.1581,137°,Southeast,277,319,14100,-1150 , FlightAware ADS-B  (GLO / EGBJ) 
Mon 10:56:11 AM,51.8959,-1.0747,138°,Southeast,264,304,13200,-846 , FlightAware ADS-B  (FAB / EGLF) 
Mon 10:56:29 AM,51.8803,-1.0507,128°,Southeast,250,288,13000,-261 , FlightAware ADS-B  (EGTB) 
